Time (s),Sample #,Amplitude
0.055,1,7
0.055,2,12
0.055,3,7
0.055,4,2
0.055,5,-1
0.069,6,-5
0.069,7,-7
0.069,8,-10
0.069,9,-13
0.069,10,-15
0.070,11,-18
0.070,12,-20
0.070,13,-21
0.070,14,-22
0.100,15,-23
0.100,16,-27
0.100,17,-36
0.100,18,-51
0.117,19,-69
0.117,20,-85
0.117,21,-90
0.117,22,-70
0.160,23,-23
0.160,24,36
0.160,25,108
0.160,26,172
0.161,27,227
0.161,28,276
0.161,29,300
0.161,30,286
0.178,31,235
0.178,32,152
0.178,33,67
0.178,34,2
0.204,35,-34
0.204,36,-50
0.204,37,-58
0.204,38,-62
0.224,39,-68
0.224,40,-73
0.225,41,-75
0.225,42,-76
0.252,43,-77
0.252,44,-76
0.252,45,-76
0.252,46,-74
0.266,47,-72
0.266,48,-70
0.266,49,-68
0.266,50,-65
0.286,51,-62
0.286,52,-60
0.286,53,-58
0.286,54,-55
0.310,55,-53
0.310,56,-50
0.310,57,-47
0.310,58,-44
0.324,59,-42
0.324,60,-40
0.325,61,-38
0.325,62,-36
0.358,63,-32
0.358,64,-30
0.358,65,-26
0.358,66,-23
0.370,67,-20
0.370,68,-17
0.370,69,-13
0.370,70,-8
0.370,71,-5
0.384,72,-2
0.384,73,0
0.384,74,2
0.384,75,4
0.384,76,6
0.384,77,7
0.416,78,9
0.416,79,11
0.416,80,12
0.416,81,12
0.416,82,11
0.430,83,10
0.430,84,8
0.430,85,7
0.430,86,6
0.430,87,3
0.430,88,1
0.430,89,-1
0.460,90,-4
0.460,91,-6
0.460,92,-9
0.460,93,-11
0.476,94,-13
0.476,95,-15
0.476,96,-18
0.476,97,-20
0.489,98,-23
0.489,99,-24
0.489,100,-26
0.489,101,-27
0.519,102,-27
0.519,103,-27
0.519,104,-27
0.519,105,-27
0.535,106,-26
0.535,107,-26
0.535,108,-25
0.535,109,-25
0.550,110,-24
0.550,111,-23
0.550,112,-22
0.550,113,-22
0.580,114,-20
0.580,115,-20
0.580,116,-18
0.580,117,-17
0.595,118,-16
0.595,119,-15
0.595,120,-14
0.595,121,-13
0.626,122,-12
0.626,123,-11
0.626,124,-10
0.626,125,-9
0.626,126,-8
0.640,127,-8
0.640,128,-7
0.640,129,-6
0.640,130,-6
0.640,131,-6
0.656,132,-6
0.656,133,-7
0.656,134,-7
0.656,135,-7
0.656,136,-6
0.685,137,-6
0.685,138,-5
0.685,139,-5
0.685,140,-5
0.685,141,-6
0.699,142,-6
0.700,143,-6
0.700,144,-7
0.700,145,-8
0.700,146,-8
0.731,147,-9
0.731,148,-9
0.731,149,-9
0.731,150,-10
0.744,151,-10
0.744,152,-9
0.744,153,-9
0.744,154,-10
0.744,155,-11
0.760,156,-11
0.760,157,-12
0.760,158,-12
0.760,159,-11
0.790,160,-11
0.790,161,-10
0.790,162,-9
0.790,163,-9
0.804,164,-9
0.804,165,-9
0.804,166,-10
0.804,167,-10
0.834,168,-10
0.834,169,-10
0.835,170,-10
0.835,171,-10
0.851,172,-10
0.851,173,-9
0.851,174,-8
0.851,175,-7
0.851,176,-7
0.866,177,-7
0.866,178,-7
0.866,179,-6
0.866,180,-5
0.866,181,-4
0.896,182,-3
0.896,183,-2
0.896,184,-1
0.896,185,0
0.896,186,0
0.896,187,1
0.909,188,3
0.909,189,4
0.909,190,6
0.909,191,8
0.909,192,12
0.909,193,17
0.939,194,23
0.939,195,31
0.939,196,38
0.939,197,45
0.939,198,49
0.957,199,52
0.957,200,52
0.957,201,51
0.957,202,47
0.957,203,42
0.971,204,37
0.971,205,31
0.971,206,25
0.971,207,19
0.971,208,13
1.000,209,8
1.000,210,4
1.000,211,0
1.000,212,-3
1.000,213,-6
1.000,214,-9
1.014,215,-11
1.014,216,-13
1.014,217,-14
1.014,218,-15
1.042,219,-16
1.042,220,-17
1.042,221,-19
1.042,222,-22
1.059,223,-27
1.059,224,-38
1.059,225,-54
1.059,226,-72
1.080,227,-43
1.080,228,-13
1.080,229,60
1.080,230,130
1.099,231,191
1.099,232,245
1.099,233,288
1.099,234,279
1.120,235,246
1.120,236,165
1.120,237,79
1.120,238,12
1.142,239,-29
1.142,240,-48
1.142,241,-57
1.142,242,-61
1.159,243,-66
1.159,244,-69
1.159,245,-71
1.159,246,-72
1.184,247,-73
1.184,248,-73
1.184,249,-71
1.184,250,-70
1.199,251,-69
1.199,252,-68
1.200,253,-66
1.200,254,-64
1.219,255,-61
1.219,256,-58
1.219,257,-56
1.219,258,-55
1.250,259,-53
1.250,260,-50
1.251,261,-48
1.251,262,-45
1.270,263,-44
1.270,264,-42
1.270,265,-40
1.270,266,-37
1.289,267,-34
1.289,268,-31
1.289,269,-29
1.289,270,-26
1.310,271,-23
1.310,272,-20
1.310,273,-16
1.310,274,-13
1.335,275,-10
1.335,276,-7
1.335,277,-6
1.335,278,-4
1.335,279,-3
1.349,280,-2
1.349,281,-1
1.349,282,-1
1.349,283,-1
1.349,284,-2
1.373,285,-2
1.373,286,-3
1.373,287,-4
1.373,288,-6
1.373,289,-8
1.393,290,-9
1.393,291,-11
1.393,292,-13
1.393,293,-15
1.413,294,-18
1.413,295,-20
1.413,296,-23
1.413,297,-25
1.432,298,-27
1.432,299,-29
1.432,300,-30
1.432,301,-31
1.452,302,-32
1.453,303,-32
1.453,304,-33
1.453,305,-32
1.484,306,-32
1.484,307,-32
1.484,308,-31
1.484,309,-30
1.501,310,-27
1.501,311,-26
1.501,312,-24
1.501,313,-22
1.524,314,-20
1.524,315,-18
1.524,316,-17
1.524,317,-16
1.539,318,-15
1.539,319,-14
1.539,320,-13
1.540,321,-13
1.559,322,-12
1.559,323,-11
1.559,324,-10
1.559,325,-10
1.582,326,-10
1.582,327,-10
1.582,328,-10
1.582,329,-10
1.603,330,-10
1.604,331,-10
1.604,332,-11
1.604,333,-11
1.621,334,-12
1.621,335,-12
1.621,336,-12
1.621,337,-12
1.641,338,-12
1.641,339,-12
1.641,340,-11
1.641,341,-11
1.662,342,-10
1.662,343,-10
1.662,344,-10
1.662,345,-10
1.681,346,-10
1.681,347,-10
1.681,348,-9
1.681,349,-8
1.681,350,-7
1.710,351,-6
1.710,352,-6
1.710,353,-6
1.710,354,-6
1.710,355,-5
1.730,356,-5
1.730,357,-4
1.730,358,-4
1.730,359,-5
1.730,360,-4
1.752,361,-4
1.752,362,-3
1.752,363,-3
1.752,364,-3
1.752,365,-2
1.770,366,-1
1.770,367,-1
1.770,368,0
1.770,369,0
1.770,370,0
1.770,371,1
1.792,372,2
1.792,373,2
1.793,374,2
1.793,375,2
1.793,376,2
1.793,377,1
1.793,378,1
1.812,379,1
1.812,380,2
1.812,381,3
1.812,382,5
1.812,383,7
1.812,384,9
1.830,385,11
1.830,386,12
1.830,387,14
1.830,388,17
1.830,389,20
1.852,390,25
1.852,391,31
1.852,392,38
1.852,393,45
1.852,394,50
1.873,395,54
1.873,396,55
1.873,397,54
1.873,398,51
1.873,399,46
1.889,400,41
1.889,401,36
1.889,402,31
1.889,403,25
1.889,404,19
1.920,405,13
1.920,406,9
1.920,407,5
1.920,408,1
1.920,409,-2
1.920,410,-5
1.941,411,-8
1.941,412,-9
1.941,413,-11
1.941,414,-12
1.960,415,-14
1.960,416,-15
1.960,417,-17
1.960,418,-20
1.981,419,-26
1.981,420,-36
1.981,421,-51
1.981,422,-67
2.000,423,-75
2.000,424,-65
2.000,425,-26
2.000,426,27
2.000,427,98
2.020,428,164
2.020,429,221
2.020,430,267
2.020,431,283
2.040,432,268
2.040,433,219
2.040,434,152
2.040,435,84
2.059,436,32
2.059,437,-1
2.059,438,-21
2.059,439,-31
2.080,440,-38
2.080,441,-41
2.080,442,-46
2.080,443,-48
2.100,444,-49
2.100,445,-49
2.100,446,-49
2.100,447,-49
2.122,448,-49
2.122,449,-48
2.122,450,-47
2.122,451,-46
2.152,452,-44
2.152,453,-43
2.152,454,-41
2.152,455,-39
2.173,456,-37
2.173,457,-34
2.173,458,-32
2.173,459,-30
2.190,460,-28
2.190,461,-25
2.190,462,-23
2.190,463,-20
2.210,464,-17
2.210,465,-15
2.210,466,-11
2.210,467,-8
2.210,468,-3
2.233,469,0
2.233,470,3
2.234,471,6
2.234,472,9
2.234,473,11
2.234,474,14
2.250,475,16
2.250,476,18
2.250,477,19
2.250,478,21
2.250,479,23
2.270,480,24
2.270,481,25
2.270,482,25
2.270,483,25
2.270,484,25
2.294,485,24
2.294,486,23
2.294,487,22
2.294,488,21
2.294,489,20
2.310,490,18
2.310,491,16
2.310,492,13
2.310,493,11
2.310,494,9
2.340,495,7
2.340,496,4
2.340,497,2
2.340,498,1
2.340,499,0
2.340,500,0
2.340,501,-1
2.350,502,-3
2.350,503,-3
2.350,504,-4
2.350,505,-5
2.350,506,-5
2.380,507,-5
2.380,508,-4
2.380,509,-3
2.380,510,-2
2.380,511,-2
2.400,512,-1
2.400,513,-1
2.400,514,-1
2.400,515,-1
2.400,516,0
2.431,517,0
2.431,518,1
2.431,519,2
2.431,520,3
2.431,521,4
2.431,522,4
2.431,523,5
2.439,524,5
2.439,525,5
2.439,526,6
2.439,527,6
2.439,528,7
2.439,529,7
2.460,530,6
2.461,531,6
2.461,532,7
2.461,533,8
2.461,534,9
2.461,535,10
2.484,536,10
2.484,537,9
2.484,538,9
2.484,539,8
2.484,540,7
2.484,541,7
2.484,542,6
2.504,543,6
2.504,544,6
2.504,545,5
2.504,546,5
2.504,547,5
2.504,548,4
2.504,549,4
2.532,550,3
2.532,551,2
2.532,552,2
2.532,553,2
2.532,554,1
2.532,555,1
2.560,556,1
2.560,557,2
2.560,558,3
2.560,559,4
2.560,560,4
2.560,561,4
2.560,562,4
2.580,563,3
2.580,564,3
2.580,565,3
2.580,566,3
2.580,567,2
2.580,568,2
2.580,569,2
2.614,570,2
2.614,571,2
2.614,572,2
2.614,573,1
2.614,574,1
2.614,575,1
2.640,576,1
2.640,577,2
2.640,578,3
2.640,579,4
2.640,580,4
2.641,581,4
2.641,582,3
2.661,583,4
2.661,584,4
2.661,585,5
2.661,586,5
2.661,587,6
2.661,588,7
2.661,589,8
2.690,590,9
2.690,591,11
2.690,592,13
2.690,593,15
2.690,594,17
2.712,595,19
2.712,596,23
2.712,597,29
2.712,598,37
2.712,599,44
2.729,600,50
2.729,601,55
2.729,602,58
2.729,603,60
2.729,604,60
2.750,605,58
2.750,606,54
2.750,607,48
2.750,608,42
2.750,609,36
2.771,610,30
2.771,611,24
2.771,612,18
2.771,613,12
2.771,614,8
2.789,615,3
2.789,616,0
2.789,617,-4
2.789,618,-7
2.789,619,-9
2.810,620,-12
2.810,621,-14
2.810,622,-16
2.810,623,-17
2.832,624,-19
2.832,625,-22
2.832,626,-27
2.832,627,-38
2.850,628,-54
2.850,629,-71
2.850,630,-83
2.850,631,-79
2.880,632,-46
2.880,633,4
2.880,634,72
2.880,635,140
2.880,636,200
2.901,637,251
2.901,638,288
2.901,639,290
2.901,640,258
2.919,641,192
2.919,642,112
2.919,643,39
2.919,644,-13
2.952,645,-45
2.952,646,-60
2.952,647,-66
2.952,648,-68
2.961,649,-71
2.961,650,-74
2.961,651,-77
2.961,652,-78
2.980,653,-77
2.980,654,-76
2.980,655,-74
2.980,656,-72
3.002,657,-70
3.002,658,-66
3.002,659,-63
3.002,660,-59
3.021,661,-56
3.021,662,-53
3.021,663,-50
3.021,664,-48
3.039,665,-45
3.039,666,-43
3.039,667,-40
3.039,668,-38
3.067,669,-34
3.067,670,-31
3.067,671,-28
3.067,672,-25
3.079,673,-23
3.079,674,-20
3.079,675,-18
3.079,676,-15
3.109,677,-12
3.109,678,-9
3.109,679,-6
3.109,680,-3
3.109,681,-1
3.129,682,1
3.129,683,4
3.129,684,7
3.129,685,10
3.129,686,12
3.129,687,14
3.150,688,15
3.150,689,16
3.150,690,16
3.150,691,17
3.150,692,18
3.169,693,19
3.169,694,19
3.169,695,18
3.169,696,17
3.169,697,16
3.193,698,14
3.193,699,13
3.193,700,11
3.193,701,9
3.193,702,7
3.193,703,5
3.209,704,3
3.209,705,0
3.209,706,-1
3.209,707,-3
3.209,708,-5
3.229,709,-6
3.229,710,-7
3.229,711,-9
3.229,712,-10
3.229,713,-11
3.254,714,-12
3.254,715,-14
3.254,716,-14
3.254,717,-15
3.269,718,-16
3.269,719,-16
3.269,720,-16
3.270,721,-15
3.289,722,-14
3.289,723,-13
3.289,724,-11
3.289,725,-10
3.312,726,-9
3.312,727,-8
3.312,728,-7
3.312,729,-6
3.312,730,-5
3.340,731,-4
3.340,732,-3
3.340,733,-3
3.340,734,-3
3.340,735,-2
3.362,736,-2
3.362,737,-2
3.362,738,-2
3.362,739,-3
3.362,740,-2
3.379,741,-2
3.379,742,-3
3.379,743,-3
3.379,744,-3
3.379,745,-3
3.400,746,-2
3.400,747,-2
3.400,748,-2
3.400,749,-1
3.400,750,-2
3.419,751,-2
3.419,752,-2
3.420,753,-2
3.420,754,-1
3.420,755,-1
3.439,756,-2
3.439,757,-1
3.439,758,-2
3.439,759,-1
3.439,760,-2
3.460,761,-2
3.460,762,-2
3.460,763,-2
3.460,764,-2
3.460,765,-3
3.485,766,-4
3.485,767,-4
3.485,768,-5
3.485,769,-5
3.485,770,-6
3.499,771,-6
3.499,772,-5
3.499,773,-5
3.499,774,-5
3.499,775,-5
3.523,776,-5
3.523,777,-5
3.523,778,-5
3.523,779,-6
3.523,780,-6
3.542,781,-6
3.542,782,-6
3.542,783,-6
3.542,784,-7
3.542,785,-7
3.569,786,-7
3.569,787,-7
3.569,788,-7
3.569,789,-7
3.569,790,-7
3.590,791,-7
3.590,792,-7
3.590,793,-6
3.590,794,-6
3.590,795,-6
3.612,796,-5
3.612,797,-4
3.612,798,-3
3.612,799,-1
3.612,800,0
3.629,801,2
3.629,802,4
3.629,803,7
3.629,804,11
3.629,805,17
3.629,806,24
3.651,807,31
3.651,808,38
3.651,809,42
3.651,810,45
3.651,811,46
3.673,812,45
3.673,813,42
3.673,814,38
3.673,815,32
3.673,816,26
3.694,817,21
3.694,818,15
3.694,819,10
3.694,820,5
3.694,821,0
3.712,822,-3
3.712,823,-7
3.712,824,-11
3.712,825,-15
3.732,826,-18
3.732,827,-20
3.732,828,-21
3.732,829,-22
3.750,830,-24
3.750,831,-25
3.750,832,-26
3.750,833,-31
3.784,834,-41
3.784,835,-56
3.784,836,-74
3.784,837,-87
3.804,838,-84
3.804,839,-44
3.804,840,-1
3.804,841,36
3.804,842,35
3.819,843,-8
3.819,844,-71
3.819,845,-124
3.819,846,-152
3.844,847,-159
3.844,848,-152
3.844,849,-143
3.862,850,-136
3.862,851,-130
3.862,852,-125
3.882,853,-119
3.882,854,-112
3.882,855,-106
3.882,856,-100
3.900,857,-94
3.901,858,-87
3.901,859,-81
3.901,860,-76
3.919,861,-72
3.919,862,-68
3.919,863,-64
3.919,864,-60
3.940,865,-56
3.940,866,-52
3.940,867,-48
3.940,868,-44
3.961,869,-41
3.961,870,-38
3.962,871,-34
3.962,872,-31
3.979,873,-27
3.979,874,-24
3.979,875,-22
3.979,876,-18
4.012,877,-15
4.012,878,-11
4.012,879,-7
4.012,880,-3
4.012,881,0
4.032,882,3
4.032,883,6
4.032,884,8
4.032,885,10
4.032,886,12
4.050,887,14
4.050,888,16
4.050,889,17
4.050,890,17
4.050,891,18
4.072,892,18
4.072,893,17
4.072,894,16
4.072,895,14
4.072,896,13
4.092,897,11
4.092,898,10
4.092,899,8
4.092,900,5
4.092,901,3
4.092,902,0
4.112,903,-1
4.112,904,-3
4.112,905,-5
4.112,906,-7
4.112,907,-8
4.130,908,-9
4.130,909,-11
4.130,910,-12
4.130,911,-14
4.153,912,-14
4.153,913,-14
4.153,914,-15
4.153,915,-15
4.170,916,-15
4.170,917,-15
4.170,918,-14
4.170,919,-14
4.190,920,-13
4.190,921,-13
4.190,922,-12
4.190,923,-10
4.190,924,-8
4.213,925,-6
4.213,926,-4
4.213,927,-3
4.213,928,-2
4.213,929,-1
4.242,930,0
4.242,931,0
4.242,932,1
4.242,933,1
4.242,934,2
4.242,935,2
4.261,936,2
4.261,937,3
4.261,938,3
4.261,939,3
4.261,940,4
4.261,941,4
4.261,942,4
4.279,943,3
4.279,944,3
4.279,945,4
4.279,946,4
4.279,947,4
4.279,948,4
4.279,949,4
4.314,950,3
4.314,951,3
4.314,952,4
4.314,953,4
4.314,954,4
4.314,955,4
4.321,956,4
4.321,957,5
4.321,958,5
4.321,959,6
4.321,960,5
4.321,961,5
4.321,962,5
4.339,963,5
4.339,964,6
4.339,965,6
4.339,966,6
4.339,967,6
4.339,968,5
4.339,969,5
4.372,970,5
4.373,971,5
4.373,972,6
4.373,973,6
4.373,974,6
4.373,975,6
4.393,976,6
4.393,977,6
4.393,978,7
4.393,979,8
4.393,980,8
4.393,981,8
4.393,982,8
4.419,983,8
4.419,984,8
4.419,985,8
4.419,986,8
4.419,987,8
4.419,988,8
4.419,989,8
4.439,990,9
4.440,991,9
4.440,992,10
4.440,993,10
4.440,994,11
4.460,995,11
4.460,996,12
4.460,997,15
4.460,998,16
4.460,999,19
4.501,1000,20
4.501,1001,21
4.501,1002,24
4.501,1003,27
4.501,1004,33
4.512,1005,39
4.512,1006,46
4.512,1007,52
4.512,1008,57
4.512,1009,62
4.530,1010,64
4.530,1011,64
4.530,1012,61
4.530,1013,56
4.530,1014,51
4.550,1015,45
4.550,1016,39
4.550,1017,33
4.550,1018,26
4.550,1019,21
4.573,1020,16
4.574,1021,11
4.574,1022,6
4.574,1023,2
4.574,1024,0
4.574,1025,-3
4.590,1026,-6
4.590,1027,-8
4.590,1028,-11
4.590,1029,-13
4.620,1030,-14
4.620,1031,-16
4.620,1032,-19
4.620,1033,-23
4.633,1034,-29
4.633,1035,-41
4.633,1036,-57
4.633,1037,-75
4.652,1038,-86
4.652,1039,-78
4.652,1040,-39
4.652,1041,15
4.652,1042,86
4.672,1043,154
4.672,1044,213
4.672,1045,264
4.672,1046,300
4.703,1047,297
4.703,1048,259
4.703,1049,185
4.703,1050,98
4.719,1051,26
4.719,1052,-21
4.719,1053,-44
4.719,1054,-53
4.739,1055,-57
4.739,1056,-62
4.739,1057,-68
4.739,1058,-74
4.764,1059,-77
4.764,1060,-77
4.764,1061,-76
4.764,1062,-74
4.780,1063,-73
4.780,1064,-72
4.780,1065,-69
4.780,1066,-67
4.799,1067,-64
4.799,1068,-62
4.799,1069,-59
4.799,1070,-57
4.819,1071,-55
4.819,1072,-53
4.819,1073,-50
4.819,1074,-48
4.842,1075,-45
4.842,1076,-43
4.842,1077,-40
4.842,1078,-38
4.862,1079,-36
4.862,1080,-33
4.862,1081,-30
4.862,1082,-27
4.880,1083,-25
4.880,1084,-21
4.880,1085,-18
4.880,1086,-15
4.913,1087,-11
4.913,1088,-8
4.913,1089,-5
4.913,1090,-2
4.914,1091,0
4.940,1092,1
4.940,1093,3
4.940,1094,4
4.940,1095,6
4.940,1096,7
4.940,1097,9
4.940,1098,10
4.952,1099,10
4.952,1100,10
4.952,1101,9
4.952,1102,9
4.952,1103,9
4.952,1104,8
4.972,1105,8
4.972,1106,6
4.972,1107,4
4.972,1108,2
4.972,1109,0
4.972,1110,-1
4.992,1111,-3
4.992,1112,-5
4.992,1113,-8
4.992,1114,-11
5.010,1115,-13
5.010,1116,-16
5.010,1117,-18
5.010,1118,-21
5.029,1119,-22
5.029,1120,-23
5.029,1121,-23
5.029,1122,-24
5.050,1123,-25
5.050,1124,-25
5.050,1125,-25
5.050,1126,-26
5.070,1127,-26
5.070,1128,-26
5.070,1129,-27
5.070,1130,-26
5.092,1131,-25
5.092,1132,-23
5.092,1133,-21
5.092,1134,-20
5.117,1135,-16
5.117,1136,-15
5.117,1137,-13
5.117,1138,-13
5.142,1139,-12
5.142,1140,-9
5.142,1141,-8
5.142,1142,-6
5.142,1143,-6
5.160,1144,-6
5.160,1145,-6
5.160,1146,-7
5.160,1147,-8
5.160,1148,-8
5.182,1149,-8
5.182,1150,-9
5.182,1151,-9
5.182,1152,-9
5.182,1153,-9
5.200,1154,-8
5.200,1155,-8
5.200,1156,-8
5.200,1157,-8
5.200,1158,-8
5.220,1159,-8
5.220,1160,-8
5.220,1161,-7
5.220,1162,-7
5.220,1163,-6
5.243,1164,-6
5.243,1165,-6
5.243,1166,-6
5.243,1167,-6
5.243,1168,-5
5.260,1169,-5
5.260,1170,-4
5.260,1171,-4
5.260,1172,-4
5.260,1173,-3
5.279,1174,-3
5.279,1175,-3
5.280,1176,-3
5.280,1177,-2
5.280,1178,-2
5.307,1179,-1
5.307,1180,0
5.307,1181,0
5.307,1182,0
5.307,1183,0
5.307,1184,0
5.307,1185,0
5.319,1186,0
5.319,1187,-1
5.319,1188,-1
5.319,1189,-2
5.319,1190,-2
5.340,1191,-1
5.340,1192,-1
5.340,1193,-1
5.340,1194,-1
5.340,1195,-1
5.369,1196,-1
5.369,1197,0
5.369,1198,0
5.369,1199,0
5.369,1200,2
5.369,1201,3
5.369,1202,6
5.390,1203,7
5.390,1204,9
5.390,1205,11
5.390,1206,15
5.390,1207,20
5.412,1208,27
5.412,1209,34
5.412,1210,41
5.412,1211,46
5.412,1212,51
5.431,1213,53
5.431,1214,52
5.431,1215,50
5.431,1216,45
5.431,1217,41
5.449,1218,35
5.449,1219,30
5.449,1220,24
5.450,1221,18
5.450,1222,12
5.473,1223,8
5.473,1224,3
5.473,1225,0
5.473,1226,-3
5.473,1227,-6
5.473,1228,-9
5.489,1229,-11
5.489,1230,-13
5.489,1231,-15
5.489,1232,-17
5.510,1233,-18
5.510,1234,-19
5.510,1235,-21
5.510,1236,-25
5.533,1237,-32
5.533,1238,-44
5.533,1239,-59
5.533,1240,-75
5.552,1241,-80
5.552,1242,-42
5.552,1243,1
5.552,1244,79
5.569,1245,148
5.570,1246,208
5.570,1247,257
5.570,1248,278
5.605,1249,251
5.605,1250,207
5.605,1251,126
5.605,1252,60
5.605,1253,10
5.620,1254,-21
5.620,1255,-36
5.620,1256,-45
5.620,1257,-46
5.640,1258,-49
5.640,1259,-51
5.640,1260,-52
5.640,1261,-52
5.663,1262,-52
5.663,1263,-51
5.663,1264,-48
5.663,1265,-47
5.680,1266,-45
5.680,1267,-44
5.680,1268,-44
5.680,1269,-42
5.700,1270,-41
5.700,1271,-39
5.700,1272,-37
5.700,1273,-35
5.723,1274,-33
5.723,1275,-30
5.723,1276,-27
5.723,1277,-25
5.739,1278,-23
5.739,1279,-21
5.739,1280,-18
5.739,1281,-15
5.760,1282,-12
5.760,1283,-8
5.760,1284,-4
5.760,1285,-1
5.760,1286,2
5.783,1287,5
5.783,1288,8
5.783,1289,11
5.783,1290,13
5.783,1291,16
5.810,1292,17
5.810,1293,19
5.810,1294,21
5.810,1295,22
5.810,1296,23
5.831,1297,24
5.831,1298,25
5.831,1299,25
5.831,1300,25
5.831,1301,25
5.849,1302,24
5.849,1303,23
5.849,1304,22
5.849,1305,20
5.849,1306,19
5.871,1307,17
5.871,1308,18
5.871,1309,15
5.871,1310,15
5.871,1311,11
5.871,1312,7
5.890,1313,7
5.890,1314,4
5.890,1315,4
5.890,1316,1
5.890,1317,-1
5.890,1318,0
5.914,1319,-1
5.914,1320,0
5.914,1321,-1
5.914,1322,-2
5.914,1323,-1
5.930,1324,-2
5.930,1325,-1
5.930,1326,-2
5.930,1327,-3
5.930,1328,0
5.930,1329,0
5.951,1330,2
5.951,1331,2
5.951,1332,2
5.951,1333,5
5.951,1334,6
5.951,1335,9
5.970,1336,10
5.970,1337,10
5.970,1338,13
5.970,1339,13
5.970,1340,16
5.990,1341,15
5.990,1342,15
5.990,1343,17
5.990,1344,17
5.990,1345,19
6.009,1346,17
6.009,1347,16
6.009,1348,18
6.009,1349,17
6.009,1350,19
6.042,1351,17
6.042,1352,15
6.042,1353,17
6.042,1354,16
6.042,1355,18
6.069,1356,16
6.069,1357,15
6.069,1358,16
6.069,1359,15
6.069,1360,16
6.084,1361,15
6.084,1362,13
6.084,1363,13
6.084,1364,12
6.084,1365,12
6.100,1366,11
6.100,1367,10
6.100,1368,9
6.100,1369,8
6.100,1370,8
6.100,1371,8
6.120,1372,7
6.120,1373,11
6.120,1374,10
6.120,1375,12
6.120,1376,11
6.120,1377,9
6.145,1378,8
6.145,1379,7
6.145,1380,8
6.145,1381,8
6.145,1382,8
6.145,1383,7
6.160,1384,7
6.160,1385,6
6.160,1386,6
6.160,1387,6
6.160,1388,6
6.160,1389,6
6.160,1390,6
6.180,1391,6
6.180,1392,6
6.180,1393,6
6.180,1394,5
6.180,1395,5
6.180,1396,5
6.180,1397,5
6.204,1398,6
6.204,1399,6
6.204,1400,7
6.207,1401,8
6.207,1402,8
6.207,1403,10
6.220,1404,11
6.220,1405,13
6.220,1406,14
6.220,1407,16
6.220,1408,19
6.250,1409,23
6.250,1410,30
6.250,1411,37
6.250,1412,44
6.250,1413,49
6.279,1414,53
6.280,1415,56
6.280,1416,57
6.280,1417,56
6.280,1418,55
6.290,1419,50
6.290,1420,46
6.290,1421,39
6.290,1422,33
6.290,1423,27
6.310,1424,22
6.310,1425,18
6.310,1426,14
6.310,1427,9
6.310,1428,8
6.310,1429,4
6.334,1430,3
6.334,1431,0
6.334,1432,-3
6.334,1433,-2
6.334,1434,-4
6.350,1435,-4
6.350,1436,-7
6.350,1437,-10
6.350,1438,-10
6.371,1439,-18
6.371,1440,-27
6.371,1441,-44
6.371,1442,-62
6.396,1443,-69
6.396,1444,-60
6.396,1445,-19
6.396,1446,33
6.396,1447,102
6.422,1448,167
6.422,1449,223
6.422,1450,272
6.422,1451,297
6.442,1452,290
6.442,1453,250
6.442,1454,180
6.442,1455,103
6.461,1456,33
6.461,1457,-18
6.461,1458,-50
6.461,1459,-67
6.480,1460,-73
6.480,1461,-75
6.480,1462,-76
6.480,1463,-79
6.500,1464,-81
6.500,1465,-81
6.500,1466,-80
6.500,1467,-78
6.522,1468,-75
6.522,1469,-72
6.522,1470,-69
6.522,1471,-65
6.540,1472,-62
6.540,1473,-56
6.540,1474,-54
6.540,1475,-49
6.562,1476,-47
6.562,1477,-45
6.562,1478,-43
6.562,1479,-40
6.583,1480,-37
6.583,1481,-35
6.583,1482,-33
6.583,1483,-31
6.600,1484,-29
6.600,1485,-26
6.600,1486,-23
6.600,1487,-20
6.625,1488,-17
6.625,1489,-15
6.625,1490,-11
6.625,1491,-8
6.652,1492,-4
6.652,1493,0
6.652,1494,2
6.652,1495,6
6.652,1496,9
6.652,1497,11
6.672,1498,14
6.672,1499,16
6.672,1500,18
6.672,1501,20
6.672,1502,21
6.691,1503,22
6.691,1504,22
6.691,1505,23
6.691,1506,23
6.691,1507,23
6.710,1508,22
6.710,1509,21
6.710,1510,20
6.710,1511,17
6.710,1512,15
6.730,1513,13
6.730,1514,11
6.730,1515,9
6.730,1516,6
6.730,1517,4
6.730,1518,3
6.754,1519,1
6.754,1520,0
6.754,1521,-2
6.754,1522,-3
6.754,1523,-4
6.754,1524,-5
6.770,1525,-6
6.770,1526,-7
6.770,1527,-8
6.770,1528,-8
6.770,1529,-8
6.791,1530,-8
6.791,1531,-9
6.791,1532,-9
6.791,1533,-9
6.791,1534,-9
6.811,1535,-8
6.811,1536,-8
6.811,1537,-8
6.811,1538,-7
6.811,1539,-7
6.842,1540,-6
6.842,1541,-6
6.842,1542,-5
6.842,1543,-4
6.842,1544,-2
6.850,1545,-1
6.850,1546,-1
6.850,1547,0
6.850,1548,0
6.850,1549,0
6.850,1550,0
6.884,1551,0
6.884,1552,0
6.884,1553,0
6.884,1554,0
6.884,1555,1
6.884,1556,1
6.902,1557,0
6.902,1558,0
6.902,1559,-2
6.902,1560,-3
6.902,1561,-4
6.902,1562,-5
6.920,1563,-5
6.920,1564,-5
6.920,1565,-5
6.920,1566,-6
6.920,1567,-6
